gmag,ra,dec,plx,bp_rp,lum_val,teff_val,radius_val
11.159633,57.36985457,23.7119862,7.491162785,1.0139475,0.47982332,5267,0.8318915
17.554266,57.7392221,24.41221336,7.288521715,3.4113579,,,
13.170188,56.09618035,24.06810157,7.498262012,1.750556,0.1206191,3980,0.7304568
16.707539,57.72778185,24.36533322,7.442459775,2.928543,,4412.937,
18.083727,58.14404586,24.42271813,2.318150888,2.7573566,,,
13.280696,56.91832314,24.30174306,7.427570101,1.7155895,0.09327064,4279.4565,0.5555816
16.897171,55.10681123,24.09988621,7.899789421,3.0546484,,4419.4497,
11.20334,55.89348889,23.7617201,7.235269981,1.073657,0.508554,5094.75,0.9153252
15.943587,56.10293822,24.86466354,7.013173551,2.9824648,,4462.17,
14.00927,56.53138354,24.37418442,7.402728292,1.9494629,0.059395682,3922.695,0.5276683
17.376783,57.2033319,23.41318792,7.302165132,3.1891842,,,
13.437666,57.31420071,24.56707866,7.39099915,1.8035431,0.099386774,3944.6667,0.6749884
18.02713,57.38805831,24.21780552,7.502088704,3.1012268,,,
16.529697,58.0069191,25.02463031,7.517868029,2.961524,,3355.1533,
17.042696,56.82561545,24.23078672,7.855573652,3.1366158,,3494.5,
15.953997,56.6503599,23.07129978,7.664262694,2.8708248,,3881.5225,
17.457302,56.41252794,23.95012434,7.533409301,2.7540264,,,
11.9679785,56.66777397,23.49754171,7.220920106,1.4365625,0.29742023,4515,0.89129686
10.101808,56.66165617,24.9594434,7.310854997,0.8084307,1.2597905,5900.25,1.0741402
17.344501,56.10458383,25.56761645,7.249267871,3.4305868,,,
17.032705,55.75590132,23.49167084,7.490900315,2.9914885,,4436.527,
18.847902,57.57983121,24.27597009,7.884171016,3.4251842,,,
16.492743,57.89173531,24.56899775,7.636485734,2.9681644,,3995.5137,
16.431084,57.63790659,24.3392128,7.597076688,2.854908,,3702.555,
15.28962,55.6194655,25.01660209,7.443178193,2.5329094,,3674.9402,
13.387124,56.2457434,23.38873548,7.538889452,1.7275953,0.08743717,4162.6626,0.5685364
13.452196,57.5211399,24.12375735,7.419926694,1.7299442,,4374.37,
17.290194,54.95217177,23.76760209,7.642061127,3.189165,,,
16.635918,56.63057434,22.30531685,7.273367609,3.1781816,,3978.505,
12.702542,56.52886151,24.56261163,7.361842907,1.4580269,0.14674483,4493,0.6322098
15.485618,57.73598113,25.58492369,7.89178137,2.8658495,,3978.1648,
17.324587,57.18905627,24.62380211,7.201266765,3.1689005,,,
14.28843,56.54129942,24.6734006,7.357909287,2.3871126,0.05949235,3569.3333,0.637836
17.550318,56.82565241,24.23056791,7.703831388,,,,
19.584877,56.91263947,24.60601974,7.684512202,2.862135,,,
17.068518,56.49673454,23.81287381,7.401407863,2.5460138,,3902.24,
16.624432,56.6966887,25.34795003,7.560941595,3.1732616,,3770.21,
10.740429,57.07380761,25.04764714,7.46225637,0.92820644,0.6913322,5498.5,0.9162365
17.12921,55.73575274,24.22917686,7.442433828,3.054555,,,
15.634587,55.16690192,24.735687,7.545609192,2.639453,,3679,
16.907084,56.97574366,22.65694797,7.482742475,3.0391808,,4139.71,
17.422443,56.63472426,25.85703059,6.725252208,3.2384748,,,
16.543236,57.03844547,23.97779268,7.217751626,2.8319874,,3761.8276,
18.433237,56.8428748,24.28314321,7.637957407,2.8286533,,,
17.724627,54.98011326,24.21490249,7.838339025,3.230608,,,
13.877122,55.41502822,23.76289001,7.542518972,1.8991327,,4106.0474,
15.678291,55.80058653,24.74575324,7.394179867,2.9518995,,4258.297,
9.191837,56.66398645,24.10300109,7.418396936,0.6303797,2.7893677,6512.5254,1.3119179
15.29036,57.24294286,23.09402775,7.291733342,2.5239925,0.029779118,3312,0.5241166
16.765978,57.02676259,24.11421376,7.392663196,2.8223267,,4286.8433,
16.688013,56.93623949,22.39796924,7.431077137,3.1427193,,3713.9001,
19.353052,56.77385708,24.66753315,7.246833099,2.8314495,,,
15.087918,57.09445982,22.87248381,7.638029848,2.5017557,,3692,
14.498398,58.00955204,24.36314459,6.57240741,1.9885015,,4084,
16.562204,56.25481621,24.77791433,7.417320599,2.938613,,4648.69,
16.476185,56.28627132,22.64163774,7.243881878,2.9776,,4462.4697,
